Mnemonics_Arquivos,Mnemonics_Variaveis,long_name,Descricao,Unidade,Data Atualização
CAL,CAL,Caliper,Diâmetro nominal do poço,in,2024-02-06 00:00:00
CAL,CALFM,Caliper,,in,
CAL,CALC,Caliper,,in,
CAL,RCAL,Caliper,,in,
CAL,IRMN,Valor Minimo do Raio Interno,Valor Minimo do Raio Interno,in,
CAL,CAL1W,Diameter from pad 1 and its opposite,Diamêtro do pad 1 e seu oposto,in,
CAL,CAL2W,Diameter from pad 2 and its opposite,Diamêtro do pad 2 e seu oposto,in,
CAL,CAL3W,Diameter from pad 3 and its opposite,Diamêtro do pad 3 e seu oposto,in,
CAL,CALW,Caliper,,in,
CAL,CAL1QH,Diameter from pad 1 and its opposite,Diâmetro de patin 1 e seu oposto em alta resolução,in,
CAL,CAL2QH,Diameter from pad 2 and its opposite,Diâmetro de patin 2 e seu oposto em alta resolução,in,
CAL,CAL3QH,Diameter from pad 3 and its opposite,Diâmetro de patin 3 e seu oposto em alta resolução,in,
CAL,CAL1,Diameter from pad 1 and its opposite,Diâmetro do poço adquirido pela soma das leituras dos patins 1 e 4,in,
CAL,CAL2,Diameter from pad 2 and its opposite,Diâmetro do poço adquirido pela soma das leituras dos patins 2 e 5,in,
CAL,CAL3,Diameter from pad 3 and its opposite,Diâmetro do poço adquirido pela soma das leituras dos patins 3 e 6,in,
CAL,CAL4,CAL4,Caliper 4,in,
CAL,CAL5,CAL5,Caliper 5,in,
CAL,CAL6,CAL6,Caliper 6,in,
CAL,C1,Caliper 1,Caliper 1,IN,
CAL,C2,Caliper 2,Caliper 2,IN,
CAL,CALX,Caliper from X-axis of XY caliper(s),Diâmetro nominal no eixo X.,in,
CAL,CALX_H,Caliper,,in,
CAL,CALI,Caliper,Caliper,in,
CAL,C13,C13,Pares de caliper 1 e 3,in,
CAL,C24,C24,Pares de caliper 2 e 4,in,
CAL,CAL2,Diameter from pad 2 and its opposite,Diâmetro do poço adquirido pela soma das leituras dos patins 2 e 5,in,
CAL,CALIA,Caliper,,in,
CAL,HCAL,Caliper Calibrado,Caliper Calibrado,IN,
CAL,HDAR,Borehole Diameter,,in,
CAL,HD1_PPC1,Caliper,,in,
CAL,HD2,Bulk Density Bin 2/8,Curva de Densidade referente ao Bin 2/8,g/cc,
CAL,HD2_PPC1,Caliper,,in,
CAL,HD2_PPC2,Caliper,,in,
CAL,CAL1QH,Diameter from pad 1 and its opposite,Diâmetro de patin 1 e seu oposto em alta resolução,in,
CAL,CAL2QH,Diameter from pad 2 and its opposite,Diâmetro de patin 2 e seu oposto em alta resolução,in,
CAL,RD1_PPC1,Caliper,,in,
CAL,DCAL,Diff Caliper,Caliper diferencial,in,
GR,GR,Gamma Ray,Raio gama,gAPI,
GR,GR.20/M]),Gamma Ray,,,
GR,GR_MRIL,Gamma Ray,,gAPI,
GR,GRMA,"Gamma Ray, Average",Média dos Raios Gama Medida pelo,GAPI,
GR,GRAFM,"Gamma Ray - Apparent - Filtered, Memory","Raios Gama aparente (pois não foram aplicadas as correções ambientais) e filtrado, em memória",gAPI,
GR,GRAM,"Gamma Ray - Apparent, Memory","Raios Gama aparente pois não foram aplicadas as correções ambientais, em memória",gAPI,
GR,ECGR_EDTC,Raio Gamma Corrigido Ambientalmente,Raio Gamma Corrigido Ambientalmente,gAPI,
GR,AZS1G,GPIT Simples - Somatório de Gama,GPIT Simples - Somatório de Gama,M/S2,
GR,AZS2G,GPIT Dupla - Somatório de Gama,GPIT Dupla - Somatório de Gama,M/S2,
GR,GRAFM,"Gamma Ray - Apparent - Filtered, Memory","Raios Gama aparente (pois não foram aplicadas as correções ambientais) e filtrado, em memória",gAPI,
GR,GR_EDTC,Raio Gamma,Raio Gamma,gAPI,
GR,GRA_LWD,Apparent Gamma Ray,,gAPI,
GR,ECGR,Raio Gamma Corrigido Ambientalmente,Raio Gamma Corrigido Ambientalmente,gAPI,
GR,CFGR,Gamma-Ray Correction Coeff.,,,
GR,EHGR,Raio Gamma Corrigido de Alta Resolucao,Raio Gamma Corrigido de Alta Resolucao,gAPI,
GR,GRUTHK,Spectral Gamma Ray,,gAPI,
GR,GRC,Gamma Ray Calculated,Calculated Gamma,Gapi,
GR,GRC_LWD,Corrected Gamma Ray - LWD,,gAPI,
GR,RGR,Raio Gamma Bruto,Raio Gamma Bruto,gAPI,
GR,UZ,Fator Fotoeletrico Volumetrico em Resolução Padrão,Fator Fotoeletrico Volumetrico em Resolução Padrão,Adimensional,
