POCO,BACIA,LATITUDE,LONGITUDE,TDEP,COT,,,
n/a,n/a,SIRGAS2000,SIRGAS2000,m,%,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4200,0.23,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4224,0.24,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4245,1.22,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4290,0.34,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4305,0.27,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4335,1.17,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4353,1.28,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4365,1.17,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4380,1.34,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4395,1.18,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4410,1.34,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4425,1.49,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4440,1.24,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4464,1.43,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4485,1.2,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4500,1.33,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4515,1.41,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4530,1.26,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4560,1.04,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4581,0.94,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4590,0.54,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4602,0.57,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4611,0.93,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4626,0.78,,,
1-BG-3-SPS,SANTOS,"-25,1459841666","-45,2093525",4635,0.69,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4836,0.37,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4839,0.332,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4842,0.38,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4845,0.36,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4848,0.385,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4854,0.342,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4857,0.29,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4860,0.39,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4863,0.231,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4866,0.234,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4869,0.29,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4923,0.343,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4926,0.314,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4929,0.292,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4932,0.274,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4935,0.26,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4938,0.3,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4941,0.28,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4944,0.29,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4947,0.282,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4950,0.3,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4953,0.27,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4956,0.334,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5175,0.45,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5178,0.341,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5181,0.34,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5184,0.32,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5187,0.272,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5190,0.32,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5193,0.312,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5196,0.39,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5199,0.25,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5202,0.26,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5205,0.27,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5208,0.253,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5211,0.36,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5214,0.27,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5217,0.23,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5220,0.27,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",5223,0.324,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4851,0.57,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4914,0.49,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4917,0.57,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4920,0.384,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4959,0.42,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4833,0.55,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4908,0.563,,,
1-BRSA-60A-SCS,SANTOS,"-26,9699752777","-46,8793016666",4911,0.61,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2349,0.304,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2367,0.28,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2385,0.291,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2403,0.38,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2421,0.35,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2439,0.262,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2457,0.46,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2475,0.443,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2493,0.55,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2511,0.54,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2529,0.54,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2547,0.59,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2565,0.53,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2583,0.54,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2601,0.58,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2619,0.53,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2637,0.44,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2655,0.42,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2673,0.354,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2691,0.381,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2709,0.33,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2745,0.52,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2763,0.57,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2781,0.59,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2799,0.66,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2835,0.67,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2853,0.67,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2871,0.63,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2889,0.57,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2907,0.56,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2925,0.59,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2943,0.485,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2961,0.39,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2979,0.343,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",2997,0.341,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3357,0.37,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3393,0.424,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3411,0.425,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3429,0.56,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3447,0.54,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3465,0.55,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3483,0.5,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3501,0.453,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3519,0.49,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3537,0.53,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3555,0.57,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3573,0.63,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3591,0.67,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3609,0.69,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3627,0.67,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3645,0.71,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3663,0.74,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3681,0.77,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3699,0.73,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3717,0.73,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3735,0.64,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3789,0.56,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3807,0.49,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3825,0.49,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3843,0.5,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3861,0.5,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3879,0.48,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3915,0.51,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3933,0.49,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3951,0.49,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3969,0.442,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",3987,0.45,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",4005,0.42,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",4023,0.382,,,
1-BRSA-104-RJS,SANTOS,"-24,6292894444","-43,0947977777",4041,0.44,,,
